Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Las Flores CDP,0.047
2020,June,CA,Las Lomas CDP,0.176
2020,June,CA,Lathrop city,0.12
2020,June,CA,Laton CDP,0.171
2020,June,CA,La Verne city,0.16
2020,June,CA,Lawndale city,0.23
2020,June,CA,Laytonville CDP,0.276
2020,June,CA,Lebec CDP,0.281
2020,June,CA,Le Grand CDP,0.201
2020,June,CA,Lemon Cove CDP,0.058
2020,June,CA,Lemon Grove city,0.17
2020,June,CA,Lemoore city,0.126
2020,June,CA,Lemoore Station CDP,0.111
2020,June,CA,Lennox CDP,0.203
2020,June,CA,Lenwood CDP,0.039
2020,June,CA,Lewiston CDP,0.094
2020,June,CA,Lincoln city,0.114
2020,June,CA,Lincoln Village CDP,0.143
2020,June,CA,Linda CDP,0.192
2020,June,CA,Linden CDP,0.064
2020,June,CA,Lindsay city,0.231
2020,June,CA,Little Grass Valley CDP,0
2020,June,CA,Littlerock CDP,0.355
2020,June,CA,Live Oak CDP,0.09
2020,June,CA,Live Oak city,0.132
2020,June,CA,Livermore city,0.112
2020,June,CA,Livingston city,0.081
2020,June,CA,Lockeford CDP,0.171
2020,June,CA,Lodi city,0.133
2020,June,CA,Loma Linda city,0.092
2020,June,CA,Loma Rica CDP,0.051
2020,June,CA,Lomita city,0.178
2020,June,CA,Lompoc city,0.15
2020,June,CA,London CDP,0.243
2020,June,CA,Lone Pine CDP,0.118
2020,June,CA,Long Beach city,0.196
2020,June,CA,Loomis town,0.131
2020,June,CA,Los Alamitos city,0.142
2020,June,CA,Los Alamos CDP,0.118
2020,June,CA,Los Altos city,0.059
2020,June,CA,Los Angeles city,0.2
2020,June,CA,Los Banos city,0.2
2020,June,CA,Los Gatos town,0.086
2020,June,CA,Los Molinos CDP,0.116
2020,June,CA,Lost Hills CDP,0.067
2020,June,CA,Lower Lake CDP,0.129
2020,June,CA,Loyalton city,0.117
2020,June,CA,Lucerne CDP,0.08
2020,June,CA,Lynwood city,0.208
2020,June,CA,McCloud CDP,0.199
2020,June,CA,McFarland city,0.216
2020,June,CA,McKinleyville CDP,0.087
2020,June,CA,McKittrick CDP,0
2020,June,CA,Madera city,0.135
2020,June,CA,Madera Acres CDP,0.1
2020,June,CA,Magalia CDP,0.09
2020,June,CA,Malibu city,0.13
2020,June,CA,Mammoth Lakes town,0.027
2020,June,CA,Manhattan Beach city,0.112
2020,June,CA,Manteca city,0.15
2020,June,CA,Manton CDP,0.112
2020,June,CA,March AFB CDP,0.046
2020,June,CA,Maricopa city,0.23
2020,June,CA,Marina city,0.175
2020,June,CA,Marina del Rey CDP,0.127
2020,June,CA,Mariposa CDP,0.08
2020,June,CA,Markleeville CDP,0
2020,June,CA,Martinez city,0.119
2020,June,CA,Marysville city,0.13
2020,June,CA,Mayflower Village CDP,0.135
2020,June,CA,Maywood city,0.168
2020,June,CA,Meadow Valley CDP,0.382
2020,June,CA,Meadow Vista CDP,0.074
2020,June,CA,Mecca CDP,0.159
2020,June,CA,Meiners Oaks CDP,0.093
2020,June,CA,Mendocino CDP,0
2020,June,CA,Mendota city,0.306
2020,June,CA,Menifee City,0.153
2020,June,CA,Menlo Park city,0.06
2020,June,CA,Mentone CDP,0.12
2020,June,CA,Merced city,0.157
2020,June,CA,Mesa CDP,0.117
2020,June,CA,Mesa Vista CDP,0.411
2020,June,CA,Mettler CDP,0.316
2020,June,CA,Middletown CDP,0.178
2020,June,CA,Millbrae city,0.106
2020,June,CA,Mill Valley city,0.067
2020,June,CA,Milpitas city,0.122
2020,June,CA,Mineral CDP,0.194
2020,June,CA,Mira Monte CDP,0.147
2020,June,CA,Mission Canyon CDP,0.033
2020,June,CA,Mission Hills CDP,0.204
2020,June,CA,Mission Viejo city,0.123
2020,June,CA,Mi Wuk Village CDP,0.277
2020,June,CA,Modesto city,0.156
2020,June,CA,Mohawk Vista CDP,0
2020,June,CA,Mojave CDP,0.351
2020,June,CA,Mokelumne Hill CDP,0.274
2020,June,CA,Mono Vista CDP,0.021
2020,June,CA,Monrovia city,0.167
2020,June,CA,Montclair city,0.136
2020,June,CA,Montebello city,0.208
2020,June,CA,Montecito CDP,0.167
2020,June,CA,Monterey city,0.159
2020,June,CA,Monterey Park city,0.252
2020,June,CA,Monte Rio CDP,0.381
2020,June,CA,Moorpark city,0.117
2020,June,CA,Morada CDP,0
2020,June,CA,Moraga town,0.086
2020,June,CA,Moreno Valley city,0.149
2020,June,CA,Morgan Hill city,0.111
2020,June,CA,Morongo Valley CDP,0.128
2020,June,CA,Morro Bay city,0.173
2020,June,CA,Moss Landing CDP,0
2020,June,CA,Mountain Mesa CDP,0.157
2020,June,CA,Mountain Ranch CDP,0.184
2020,June,CA,Mountain View CDP,0.242
2020,June,CA,Mountain View city,0.059
2020,June,CA,Mountain View Acres CDP,0.215
2020,June,CA,Mount Shasta city,0.033
2020,June,CA,Murphys CDP,0.119
2020,June,CA,Murrieta city,0.14
2020,June,CA,Muscoy CDP,0.265
2020,June,CA,Napa city,0.134
2020,June,CA,National City city,0.184
2020,June,CA,Needles city,0.098
2020,June,CA,Nevada City city,0.111
2020,June,CA,Newark city,0.128
2020,June,CA,Newman city,0.191
2020,June,CA,Newport Beach city,0.104
2020,June,CA,Nice CDP,0.092
2020,June,CA,Nipomo CDP,0.162
2020,June,CA,Norco city,0.123
2020,June,CA,North Auburn CDP,0.092
2020,June,CA,North Edwards CDP,0.252
2020,June,CA,North El Monte CDP,0.108
2020,June,CA,North Fair Oaks CDP,0.08
2020,June,CA,North Highlands CDP,0.115
2020,June,CA,North Lakeport CDP,0.056
2020,June,CA,Norwalk city,0.204
2020,June,CA,Novato city,0.105
2020,June,CA,Nuevo CDP,0.141
2020,June,CA,Oakdale city,0.182
2020,June,CA,Oakhurst CDP,0.13
2020,June,CA,Oakland city,0.157
